ExperimentName	Subject	Block	Trial	Category	Condition	Delay	DelayFixation.OffsetTime	DelayFixation.OnsetTime	Distractors	Go.OffsetTime	Go.OnsetTime	Novelty	Relevance	Stim.ACC	Stim.OffsetTime	Stim.OnsetTime	Stim.RT
TRSEscan	122	9	19	Faces	Categorize	2390	160328	158038	3			Repeat	Irrelevant	1	157925	157435	657
TRSEscan	122	9	20	Scenes	Categorize	4390	165327	161037	1			Novel	Irrelevant	1	160924	160434	738
TRSEscan	122	9	21	Scenes	Categorize	6390	172318	166028	0			Repeat	Irrelevant	1	165916	165426	570
TRSEscan	122	10	1		Both					206634	205644						
TRSEscan	122	10	2	Faces	Both	4390	213535	209245	0			Novel	Relevant	1	209132	208642	666
TRSEscan	122	10	3	Faces	Both	2390	216527	214237	0			Novel	Relevant	1	214124	213634	842
TRSEscan	122	10	4	Scenes	Both	2390	219526	217236	2			Novel	Relevant	1	217123	216633	883
TRSEscan	122	10	5	Faces	Both	6390	226524	220234	1			Novel	Relevant	1	220121	219631	981
TRSEscan	122	10	6	Faces	Both	4390	231526	227236	0			Repeat	Relevant	1	227123	226633	930
TRSEscan	122	10	7	Faces	Both	6390	238518	232228	0			Novel	Relevant	1	232115	231625	698
TRSEscan	122	10	8	Scenes	Both	2390	241519	239229	3			Novel	Relevant	1	239116	238626	921
TRSEscan	122	10	9	Faces	Both	4390	246518	242228	1			Novel	Relevant	1	242115	241625	850
TRSEscan	122	10	10	Faces	Both	6390	253510	247220	0			Repeat	Relevant	1	247107	246617	714
TRSEscan	122	10	11	Scenes	Both	4390	258511	254221	2			Novel	Relevant	1	254108	253618	881
TRSEscan	122	10	12	Scenes	Both	2390	261503	259213	0			Repeat	Relevant	0	259100	258610	1321
TRSEscan	122	10	13	Faces	Both	4390	266502	262212	2			Repeat	Relevant	0	262099	261609	1178
TRSEscan	122	10	14	Scenes	Both	2390	269493	267203	1			Novel	Relevant	1	267091	266601	898
TRSEscan	122	10	15	Faces	Both	6390	276492	270202	1			Novel	Relevant	1	270089	269599	772
TRSEscan	122	10	16	Scenes	Both	4390	281494	277204	1			Novel	Relevant	1	277091	276601	906
TRSEscan	122	10	17	Scenes	Both	6390	288485	282195	0			Repeat	Relevant	1	282083	281593	2018
TRSEscan	122	10	18	Scenes	Both	2390	291487	289197	0			Repeat	Relevant	1	289084	288594	1297
TRSEscan	122	10	19	Faces	Both	2390	294486	292196	3			Repeat	Relevant	0	292083	291593	866
TRSEscan	122	10	20	Scenes	Both	4390	299484	295194	1			Novel	Relevant	1	295081	294591	900
TRSEscan	122	10	21	Scenes	Both	6390	306476	300186	0			Repeat	Relevant	1	300073	299583	620
TRSEscan	122	11	1		Faces					339754	338764						
TRSEscan	122	11	2	Faces	Faces	4390	346654	342364	0			Novel	Relevant	1	342251	341761	841
TRSEscan	122	11	3	Faces	Faces	2390	349646	347356	0			Novel	Relevant	1	347243	346753	713
TRSEscan	122	11	4	Scenes	Faces	2390	352645	350355	2			Novel	Irrelevant	1	350242	349752	842
TRSEscan	122	11	5	Faces	Faces	6390	359643	353353	1			Novel	Relevant	1	353240	352750	740
TRSEscan	122	11	6	Faces	Faces	4390	364645	360355	0			Repeat	Relevant	1	360242	359752	834
TRSEscan	122	11	7	Faces	Faces	6390	371637	365347	0			Novel	Relevant	1	365234	364744	738
TRSEscan	122	11	8	Scenes	Faces	2390	374638	372348	3			Novel	Irrelevant	0	372235	371745	905
TRSEscan	122	11	9	Faces	Faces	4390	379637	375347	1			Novel	Relevant	1	375234	374744	745
TRSEscan	122	11	10	Faces	Faces	6390	386629	380339	0			Repeat	Relevant	1	380226	379736	770
TRSEscan	122	11	11	Scenes	Faces	4390	391630	387340	2			Novel	Irrelevant	1	387227	386737	713
TRSEscan	122	11	12	Scenes	Faces	2390	394622	392332	0			Repeat	Irrelevant	1	392219	391729	585
TRSEscan	122	11	13	Faces	Faces	4390	399621	395331	2			Repeat	Relevant	0	395218	394728	914
TRSEscan	122	11	14	Scenes	Faces	2390	402612	400322	1			Novel	Irrelevant	1	400210	399720	538
TRSEscan	122	11	15	Faces	Faces	6390	409611	403321	1			Novel	Relevant	1	403208	402718	748
TRSEscan	122	11	16	Scenes	Faces	4390	414613	410323	1			Novel	Irrelevant	1	410210	409720	570
TRSEscan	122	11	17	Scenes	Faces	6390	421604	415314	0			Repeat	Irrelevant	1	415202	414712	633
TRSEscan	122	11	18	Scenes	Faces	2390	424606	422316	0			Repeat	Irrelevant	1	422203	421713	624
TRSEscan	122	11	19	Faces	Faces	2390	427605	425315	3			Repeat	Relevant	1	425202	424712	841
TRSEscan	122	11	20	Scenes	Faces	4390	432603	428313	1			Novel	Irrelevant	1	428200	427710	555
TRSEscan	122	11	21	Scenes	Faces	6390	439595	433305	0			Repeat	Irrelevant	1	433192	432702	531
TRSEscan	122	12	1		Scenes					469773	468783						
TRSEscan	122	12	2	Faces	Scenes	4390	476674	472384	0			Novel	Irrelevant	1	472272	471782	547
TRSEscan	122	12	3	Faces	Scenes	2390	479666	477376	0			Novel	Irrelevant	1	477263	476773	412
TRSEscan	122	12	4	Scenes	Scenes	2390	482665	480375	2			Novel	Relevant	1	480262	479772	1037
TRSEscan	122	12	5	Faces	Scenes	6390	489663	483373	1			Novel	Irrelevant	1	483260	482770	575
TRSEscan	122	12	6	Faces	Scenes	4390	494665	490375	0			Repeat	Irrelevant	1	490262	489772	541
TRSEscan	122	12	7	Faces	Scenes	6390	501657	495367	0			Novel	Irrelevant	1	495254	494764	517
TRSEscan	122	12	8	Scenes	Scenes	2390	504658	502368	3			Novel	Relevant	1	502255	501765	716
TRSEscan	122	12	9	Faces	Scenes	4390	509657	505367	1			Novel	Irrelevant	1	505254	504764	532
TRSEscan	122	12	10	Faces	Scenes	6390	516649	510359	0			Repeat	Irrelevant	1	510246	509756	484
TRSEscan	122	12	11	Scenes	Scenes	4390	521650	517360	2			Novel	Relevant	1	517247	516757	875
TRSEscan	122	12	12	Scenes	Scenes	2390	524642	522352	0			Repeat	Relevant	1	522239	521749	755
TRSEscan	122	12	13	Faces	Scenes	4390	529641	525351	2			Repeat	Irrelevant	1	525238	524748	668
TRSEscan	122	12	14	Scenes	Scenes	2390	532632	530342	1			Novel	Relevant	1	530230	529740	892
TRSEscan	122	12	15	Faces	Scenes	6390	539631	533341	1			Novel	Irrelevant	1	533228	532738	494
TRSEscan	122	12	16	Scenes	Scenes	4390	544633	540343	1			Novel	Relevant	1	540230	539740	668
TRSEscan	122	12	17	Scenes	Scenes	6390	551624	545334	0			Repeat	Relevant	1	545222	544732	836
TRSEscan	122	12	18	Scenes	Scenes	2390	554626	552336	0			Repeat	Relevant	1	552223	551733	835
TRSEscan	122	12	19	Faces	Scenes	2390	557625	555335	3			Repeat	Irrelevant	1	555222	554732	668
TRSEscan	122	12	20	Scenes	Scenes	4390	562623	558333	1			Novel	Relevant	1	558220	557730	846
TRSEscan	122	12	21	Scenes	Scenes	6390	569615	563325	0			Repeat	Relevant	0	563212	562722	870
TRSEscan	122	13	1		Both					62486	61496						
TRSEscan	122	13	2	Scenes	Both	2390	67388	65098	0			Novel	Relevant	1	64985	64495	852
TRSEscan	122	13	3	Scenes	Both	4390	72386	68096	0			Repeat	Relevant	1	67983	67493	870
TRSEscan	122	13	4	Faces	Both	6390	79378	73088	2			Novel	Relevant	1	72975	72485	750
TRSEscan	122	13	5	Scenes	Both	4390	84380	80090	1			Repeat	Relevant	0	79977	79487	1235
